Title,Year,Liters Pure Alcohol Consumed,NumericValue,Min,Max
Tajikistan,2016,0.9 [0.5 - 1.4],0.904522753,0.470843894,1.405077723
Uzbekistan,2015,2.5 [1.7 - 3.3],2.496666667,1.747203992,3.345678341
Spain,2018,10.7 [9.1 - 12.3],10.66333333,9.129437359,12.26498603
Finland,2012,9.4 [7.9 - 11.2],9.386666667,7.864707751,11.18299125
Belarus,2003,11.7 [9.9 - 13.4],11.67666667,9.910784821,13.37616718
Andorra,2008,11.5 [9.9 - 13.3],11.54,9.861035033,13.27723519
Republic of Moldova,2008,6.9 [5.5 - 8.2],6.856676735,5.453564008,8.198146354
Finland,2016,8.4 [7.0 - 9.9],8.436666667,6.984419807,9.875458126
Latvia,2009,10.5 [8.9 - 12.2],10.50666667,8.883351859,12.16004203
Russian Federation,2018,7.2 [5.8 - 8.6],7.24,5.81703815,8.614062799
North Macedonia,2018,4.0 [3.1 - 5.1],4.040140737,3.063673817,5.118315868
United Kingdom of Great Britain and Northern Ireland,2010,10.0 [8.5 - 11.7],10.02666667,8.51779331,11.74667412
Finland,2007,10.3 [8.7 - 11.9],10.28666667,8.684016192,11.87032026
Türkiye,2012,1.5 [0.9 - 2.2],1.523333333,0.876614616,2.176739758
Armenia,2007,3.8 [2.8 - 4.9],3.843596756,2.822171485,4.858730048
Ukraine,2007,8.3 [6.9 - 9.7],8.33,6.919353348,9.734719715
Latvia,2002,7.5 [6.0 - 8.8],7.453333333,5.990312899,8.820658215
Russian Federation,2015,8.2 [6.8 - 9.6],8.216666667,6.771706908,9.594593355
Sweden,2004,6.6 [5.3 - 8.0],6.64,5.293153662,7.984016454
Luxembourg,2020,10.7 [8.9 - 12.3],10.68666667,8.945522286,12.33816072
United Kingdom of Great Britain and Northern Ireland,2013,9.5 [7.9 - 11.2],9.536666667,7.94705832,11.16496346
Albania,2012,4.5 [3.4 - 5.5],4.477577167,3.398828284,5.525659534
Ireland,2002,14.0 [12.0 - 16.0],14.04666667,12.03344432,15.98365426
Armenia,2019,4.0 [3.0 - 5.0],4.049918177,3.008639671,5.048050826
Kazakhstan,2008,3.5 [2.6 - 4.4],3.486666667,2.598329943,4.391506977
Lithuania,2006,13.2 [11.2 - 15.0],13.16666667,11.24343446,15.03550456
Germany,2010,11.2 [9.5 - 13.0],11.23666667,9.536309224,13.02800753
Switzerland,2016,8.9 [7.3 - 10.4],8.873333333,7.346811311,10.38720207
Switzerland,2008,9.9 [8.3 - 11.6],9.886666667,8.298687538,11.58964492
Montenegro,2005,No data,,,
Azerbaijan,2001,0.3 [0.1 - 0.6],0.329708274,0.100453867,0.590440899
Austria,2013,12.1 [10.4 - 13.9],12.06666667,10.35693494,13.85789961
Armenia,2020,3.8 [2.8 - 4.8],3.827534232,2.837031655,4.83461316
Austria,2001,12.6 [10.8 - 14.5],12.62666667,10.75439188,14.52681144
Netherlands (Kingdom of the),2016,8.3 [6.9 - 9.8],8.276666667,6.909585575,9.753246276
Kazakhstan,2014,3.6 [2.6 - 4.6],3.57,2.610347495,4.556950369
Bosnia and Herzegovina,2022,5.2 [4.0 - 6.3],5.197321166,4.02872393,6.341441511
Georgia,2001,4.5 [3.4 - 5.6],4.52094951,3.44834566,5.617219965
Belarus,2002,11.2 [9.7 - 12.9],11.23,9.700973406,12.86009545
Andorra,2015,10.8 [9.2 - 12.4],10.79166667,9.208860576,12.36924814
Belgium,2015,10.1 [8.5 - 11.6],10.11666667,8.470935617,11.56992335
Sweden,2005,6.6 [5.3 - 7.9],6.616666667,5.301708527,7.880688719
Croatia,2020,10.2 [8.6 - 11.8],10.184162,8.575923776,11.81991897
Norway,2001,5.7 [4.5 - 7.0],5.683333333,4.450258299,6.95618422
Tajikistan,2017,0.9 [0.5 - 1.4],0.881319961,0.468792741,1.36653003
Iceland,2003,6.6 [5.2 - 8.0],6.58,5.211689119,7.972463138
Denmark,2001,11.5 [9.9 - 13.3],11.51,9.856080513,13.33997398
Azerbaijan,2013,0.5 [0.2 - 0.8],0.463333333,0.157585396,0.813656032
Germany,2020,10.6 [9.0 - 12.2],10.57666667,9.000586775,12.18985766
Belarus,2021,10.8 [9.1 - 12.5],10.77333333,9.138768988,12.46785238
North Macedonia,2006,3.9 [2.9 - 4.9],3.94219611,2.90387249,4.910463591
Georgia,2004,5.1 [3.8 - 6.2],5.139487722,3.780580891,6.204088554
Russian Federation,2008,11.6 [9.9 - 13.3],11.57,9.891143747,13.33330387
Malta,2001,6.4 [5.2 - 7.7],6.415153606,5.163633499,7.731148511
France,2015,11.9 [10.1 - 13.6],11.86,10.08473814,13.64341331
Sweden,2008,7.1 [5.8 - 8.5],7.103333333,5.830740458,8.463572587
Poland,2009,10.3 [8.8 - 11.9],10.33333333,8.77949184,11.94933843
Armenia,2013,4.0 [3.0 - 4.9],4.00497412,2.970901219,4.945143502
Hungary,2003,13.3 [11.4 - 15.0],13.26333333,11.40444182,15.03018937
Hungary,2012,11.1 [9.4 - 12.7],11.05666667,9.412408928,12.66027535
Iceland,2004,6.7 [5.4 - 8.0],6.743333333,5.418430812,7.993029668
Serbia,2010,9.2 [7.7 - 10.6],9.2068172,7.728057408,10.64562747
Bosnia and Herzegovina,2009,4.6 [3.4 - 5.7],4.578468941,3.421021512,5.730687768
Sweden,2019,7.3 [5.9 - 8.6],7.263333333,5.922058218,8.617175146
Croatia,2011,10.6 [8.9 - 12.1],10.58720723,8.881265511,12.14834283
Romania,2011,9.8 [8.2 - 11.4],9.76,8.152524718,11.41093151
Romania,2002,12.2 [10.6 - 13.9],12.24333333,10.56461555,13.9434226
Russian Federation,2003,10.9 [9.3 - 12.6],10.93333333,9.341011403,12.57050178
Latvia,2012,10.2 [8.6 - 11.9],10.24666667,8.600851391,11.90771099
Cyprus,2017,5.8 [4.5 - 7.0],5.751208006,4.53131224,6.950153156
Uzbekistan,2012,1.9 [1.2 - 2.6],1.87,1.161442647,2.5665389
Greece,2000,8.3 [6.9 - 9.7],8.268550639,6.852623345,9.717793734
