population_group,measure,location,sex,age,cause,metric,year,val,upper,lower
All Population,Prevalence,Denmark,Both,20-24 years,Alcohol use disorders,Percent,2005,0.048405768,0.071934176,0.030307668
All Population,Prevalence,Denmark,Both,20-24 years,Alcohol use disorders,Rate,2005,4653.359486,6957.399448,2902.834946
All Population,Prevalence,Denmark,Both,25-29 years,Alcohol use disorders,Number,2005,18382.72608,24258.26617,13788.24694
All Population,Prevalence,Denmark,Both,25-29 years,Alcohol use disorders,Percent,2005,0.054410495,0.071604865,0.040956835
All Population,Prevalence,Denmark,Both,25-29 years,Alcohol use disorders,Rate,2005,5306.150639,7002.117856,3979.960045
All Population,Prevalence,Denmark,Both,30-34 years,Alcohol use disorders,Number,2005,20451.18761,26900.81204,15328.22264
All Population,Prevalence,Denmark,Both,30-34 years,Alcohol use disorders,Percent,2005,0.054118378,0.071045232,0.040487101
All Population,Prevalence,Denmark,Both,30-34 years,Alcohol use disorders,Rate,2005,5321.387168,6999.575709,3988.39465
All Population,Prevalence,Denmark,Both,35-39 years,Alcohol use disorders,Number,2005,23135.1635,28661.34425,19045.80987
All Population,Prevalence,Denmark,Both,35-39 years,Alcohol use disorders,Percent,2005,0.056496955,0.069825022,0.04643257
All Population,Prevalence,Denmark,Both,35-39 years,Alcohol use disorders,Rate,2005,5588.580239,6923.496439,4600.747112
All Population,Prevalence,Denmark,Both,40-44 years,Alcohol use disorders,Number,2005,23681.34207,29230.34092,18716.04341
All Population,Prevalence,Denmark,Both,40-44 years,Alcohol use disorders,Percent,2005,0.05941287,0.073266502,0.04701958
All Population,Prevalence,Denmark,Both,40-44 years,Alcohol use disorders,Rate,2005,5893.085455,7273.949946,4657.474346
All Population,Prevalence,Denmark,Both,45-49 years,Alcohol use disorders,Number,2005,22921.92184,28905.33168,18075.11505
All Population,Prevalence,Denmark,Both,45-49 years,Alcohol use disorders,Percent,2005,0.062314331,0.078529166,0.049164633
All Population,Prevalence,Denmark,Both,45-49 years,Alcohol use disorders,Rate,2005,6195.264244,7812.441253,4885.284696
All Population,Prevalence,Denmark,Both,50-54 years,Alcohol use disorders,Number,2005,22449.61619,29743.72365,17394.05518
All Population,Prevalence,Denmark,Both,50-54 years,Alcohol use disorders,Percent,2005,0.062645399,0.083050579,0.048534282
All Population,Prevalence,Denmark,Both,50-54 years,Alcohol use disorders,Rate,2005,6238.564353,8265.537036,4833.665382
All Population,Prevalence,North Macedonia,Both,15-19 years,Alcohol use disorders,Number,2005,1240.123891,2024.60953,634.9550415
All Population,Prevalence,North Macedonia,Both,15-19 years,Alcohol use disorders,Percent,2005,0.007855881,0.012964807,0.004044264
All Population,Prevalence,North Macedonia,Both,15-19 years,Alcohol use disorders,Rate,2005,750.0407025,1224.50633,384.0278611
All Population,Prevalence,North Macedonia,Both,20-24 years,Alcohol use disorders,Number,2005,3550.338989,5602.556675,2143.907781
All Population,Prevalence,North Macedonia,Both,20-24 years,Alcohol use disorders,Percent,2005,0.021900023,0.034770642,0.013137426
All Population,Prevalence,North Macedonia,Both,20-24 years,Alcohol use disorders,Rate,2005,2136.839221,3372.005568,1290.35178
All Population,Prevalence,North Macedonia,Both,25-29 years,Alcohol use disorders,Number,2005,4460.211291,6222.164531,2935.57967
All Population,Prevalence,North Macedonia,Both,25-29 years,Alcohol use disorders,Percent,2005,0.028147758,0.039223502,0.018589808
All Population,Prevalence,North Macedonia,Both,25-29 years,Alcohol use disorders,Rate,2005,2773.547346,3869.204124,1825.467152
All Population,Prevalence,North Macedonia,Both,30-34 years,Alcohol use disorders,Number,2005,4466.080461,6286.008925,2754.521593
All Population,Prevalence,North Macedonia,Both,30-34 years,Alcohol use disorders,Percent,2005,0.029610959,0.041803287,0.018262925
All Population,Prevalence,North Macedonia,Both,30-34 years,Alcohol use disorders,Rate,2005,2932.857176,4127.996921,1808.883313
All Population,Prevalence,North Macedonia,Both,35-39 years,Alcohol use disorders,Number,2005,4110.189808,5642.631668,2773.893249
