population_group,measure,location,sex,age,cause,metric,year,val,upper,lower
All Population,Prevalence,Denmark,Both Sexes,30-34 years,Alcohol use disorders,Rate,2005,5321.387168,6999.575709,3988.39465
All Population,Prevalence,Denmark,Both Sexes,35-39 years,Alcohol use disorders,Number,2005,23135.163497465703,28661.344247997065,19045.809865670835
All Population,Prevalence,Denmark,Both Sexes,35-39 years,Alcohol use disorders,Percent,2005,0.056496955,0.069825022,0.04643257
All Population,Prevalence,Denmark,Both Sexes,35-39 years,Alcohol use disorders,Rate,2005,5588.580239,6923.4964392374695,4600.7471124310905
All Population,Prevalence,Denmark,Both Sexes,40-44 years,Alcohol use disorders,Number,2005,23681.34207305825,29230.340917537043,18716.043410365157
All Population,Prevalence,Denmark,Both Sexes,40-44 years,Alcohol use disorders,Percent,2005,0.05941287,0.073266502,0.04701958
All Population,Prevalence,Denmark,Both Sexes,40-44 years,Alcohol use disorders,Rate,2005,5893.085454704769,7273.949946,4657.474346
All Population,Prevalence,Denmark,Both Sexes,45-49 years,Alcohol use disorders,Number,2005,22921.92184326387,28905.331680493196,18075.11505216837
All Population,Prevalence,Denmark,Both Sexes,45-49 years,Alcohol use disorders,Percent,2005,0.062314331,0.078529166,0.049164633
All Population,Prevalence,Denmark,Both Sexes,45-49 years,Alcohol use disorders,Rate,2005,6195.264244,7812.441253,4885.284696
All Population,Prevalence,Denmark,Both Sexes,50-54 years,Alcohol use disorders,Number,2005,22449.61619196348,29743.723647940587,17394.055184377783
All Population,Prevalence,Denmark,Both Sexes,50-54 years,Alcohol use disorders,Percent,2005,0.062645399,0.083050579,0.048534282
All Population,Prevalence,Denmark,Both Sexes,50-54 years,Alcohol use disorders,Rate,2005,6238.564353,8265.537036,4833.665382
All Population,Prevalence,North Macedonia,Both Sexes,15-19 years,Alcohol use disorders,Number,2005,1240.1238911140626,2024.609529962392,634.9550414977779
All Population,Prevalence,North Macedonia,Both Sexes,15-19 years,Alcohol use disorders,Percent,2005,0.007855881,0.012964807,0.004044264
All Population,Prevalence,North Macedonia,Both Sexes,15-19 years,Alcohol use disorders,Rate,2005,750.0407025,1224.50633,384.0278611
All Population,Prevalence,North Macedonia,Both Sexes,20-24 years,Alcohol use disorders,Number,2005,3550.3389888782613,5602.556674897149,2143.9077811538964
All Population,Prevalence,North Macedonia,Both Sexes,20-24 years,Alcohol use disorders,Percent,2005,0.021900023,0.034770642,0.013137426
All Population,Prevalence,North Macedonia,Both Sexes,20-24 years,Alcohol use disorders,Rate,2005,2136.8392207940597,3372.005568,1290.35178
All Population,Prevalence,North Macedonia,Both Sexes,25-29 years,Alcohol use disorders,Number,2005,4460.211291,6222.164530848354,2935.579669694329
All Population,Prevalence,North Macedonia,Both Sexes,25-29 years,Alcohol use disorders,Percent,2005,0.028147758,0.039223502,0.018589808
All Population,Prevalence,North Macedonia,Both Sexes,25-29 years,Alcohol use disorders,Rate,2005,2773.5473464797997,3869.204124,1825.4671519351398
All Population,Prevalence,North Macedonia,Both Sexes,30-34 years,Alcohol use disorders,Number,2005,4466.080460500599,6286.008925,2754.5215928150888
All Population,Prevalence,North Macedonia,Both Sexes,30-34 years,Alcohol use disorders,Percent,2005,0.029610959,0.041803287,0.018262925
All Population,Prevalence,North Macedonia,Both Sexes,30-34 years,Alcohol use disorders,Rate,2005,2932.857176,4127.996920548399,1808.8833133292198
All Population,Prevalence,North Macedonia,Both Sexes,35-39 years,Alcohol use disorders,Number,2005,4110.189807557014,5642.631668,2773.8932491700566
All Population,Prevalence,North Macedonia,Both Sexes,35-39 years,Alcohol use disorders,Percent,2005,0.027349971,0.037487471,0.018450606
All Population,Prevalence,North Macedonia,Both Sexes,35-39 years,Alcohol use disorders,Rate,2005,2718.488337,3732.048664,1834.658933
All Population,Prevalence,North Macedonia,Both Sexes,40-44 years,Alcohol use disorders,Number,2005,3724.398667780791,5098.606241436746,2495.970184938912
All Population,Prevalence,North Macedonia,Both Sexes,40-44 years,Alcohol use disorders,Percent,2005,0.024819234,0.033967902,0.016639265
All Population,Prevalence,North Macedonia,Both Sexes,40-44 years,Alcohol use disorders,Rate,2005,2471.496225,3383.414936,1656.3159428462998
All Population,Prevalence,North Macedonia,Both Sexes,45-49 years,Alcohol use disorders,Number,2005,3415.761809719004,4417.504811505014,2503.645234972178
All Population,Prevalence,North Macedonia,Both Sexes,45-49 years,Alcohol use disorders,Percent,2005,0.023071961,0.029819009,0.016905429
All Population,Prevalence,North Macedonia,Both Sexes,45-49 years,Alcohol use disorders,Rate,2005,2300.675421,2975.39621,1686.322225
All Population,Prevalence,North Macedonia,Both Sexes,50-54 years,Alcohol use disorders,Number,2005,3020.657293176427,3988.835550955825,2171.0552777317803
All Population,Prevalence,North Macedonia,Both Sexes,50-54 years,Alcohol use disorders,Percent,2005,0.02191153,0.028914846,0.015752212
All Population,Prevalence,North Macedonia,Both Sexes,50-54 years,Alcohol use disorders,Rate,2005,2187.196035,2888.234068,1572.016629
All Population,Prevalence,Russian Federation,Both Sexes,15-19 years,Alcohol use disorders,Number,2005,175342.81215736727,236455.7389750215,125886.18966999168
All Population,Prevalence,Russian Federation,Both Sexes,15-19 years,Alcohol use disorders,Percent,2005,0.01457776,0.019538378,0.010482449
All Population,Prevalence,Russian Federation,Both Sexes,15-19 years,Alcohol use disorders,Rate,2005,1381.027055,1862.3619006793099,991.4990623
All Population,Prevalence,Russian Federation,Both Sexes,20-24 years,Alcohol use disorders,Number,2005,569000.8137752668,749833.9716533545,425575.7170988905
All Population,Prevalence,Russian Federation,Both Sexes,20-24 years,Alcohol use disorders,Percent,2005,0.045950717,0.06047435,0.034109393
All Population,Prevalence,Russian Federation,Both Sexes,20-24 years,Alcohol use disorders,Rate,2005,4479.766298,5903.473025118909,3350.574742
All Population,Prevalence,Russian Federation,Both Sexes,25-29 years,Alcohol use disorders,Number,2005,758132.7804045359,970959.7588,576254.1348520999
All Population,Prevalence,Russian Federation,Both Sexes,25-29 years,Alcohol use disorders,Percent,2005,0.06761903,0.086539577,0.051470707
All Population,Prevalence,Russian Federation,Both Sexes,25-29 years,Alcohol use disorders,Rate,2005,6677.073006,8551.495678,5075.220367
All Population,Prevalence,Russian Federation,Both Sexes,30-34 years,Alcohol use disorders,Number,2005,825149.8331557799,1064002.4148752652,601067.7959613542
All Population,Prevalence,Russian Federation,Both Sexes,30-34 years,Alcohol use disorders,Percent,2005,0.077867913,0.1005449483561831,0.056714253
All Population,Prevalence,Russian Federation,Both Sexes,30-34 years,Alcohol use disorders,Rate,2005,7732.641037,9970.975459990419,5632.724287
All Population,Prevalence,Russian Federation,Both Sexes,35-39 years,Alcohol use disorders,Number,2005,778733.5688,1005588.6129753116,602205.1518663595
All Population,Prevalence,Russian Federation,Both Sexes,35-39 years,Alcohol use disorders,Percent,2005,0.080567542,0.1039890679466569,0.06241344
All Population,Prevalence,Russian Federation,Both Sexes,35-39 years,Alcohol use disorders,Rate,2005,8027.555612,10366.08518850993,6207.81682
All Population,Prevalence,Russian Federation,Both Sexes,40-44 years,Alcohol use disorders,Number,2005,956240.741,1272315.688893498,707672.7410056895
All Population,Prevalence,Russian Federation,Both Sexes,40-44 years,Alcohol use disorders,Percent,2005,0.083625551,0.1111904312457352,0.061896992
All Population,Prevalence,Russian Federation,Both Sexes,40-44 years,Alcohol use disorders,Rate,2005,8344.299843,11102.41715147417,6175.258268
All Population,Prevalence,Russian Federation,Both Sexes,45-49 years,Alcohol use disorders,Number,2005,1106621.5595594936,1386344.5499078936,880583.0168
All Population,Prevalence,Russian Federation,Both Sexes,45-49 years,Alcohol use disorders,Percent,2005,0.089243551,0.111779983,0.071002162
All Population,Prevalence,Russian Federation,Both Sexes,45-49 years,Alcohol use disorders,Rate,2005,8912.572013,11165.42103240378,7092.0898681647595
All Population,Prevalence,Russian Federation,Both Sexes,50-54 years,Alcohol use disorders,Number,2005,1029096.2038776522,1341919.6476397167,776536.0738298544
All Population,Prevalence,Russian Federation,Both Sexes,50-54 years,Alcohol use disorders,Percent,2005,0.094857532,0.1237185854415346,0.071570555
All Population,Prevalence,Russian Federation,Both Sexes,50-54 years,Alcohol use disorders,Rate,2005,9478.423433354801,12359.66334920004,7152.234836
All Population,Prevalence,Poland,Both Sexes,15-19 years,Alcohol use disorders,Number,2005,19660.25356216744,28027.140582901477,12994.62861128844
All Population,Prevalence,Poland,Both Sexes,15-19 years,Alcohol use disorders,Percent,2005,0.006788253,0.009718306,0.004483558
All Population,Prevalence,Poland,Both Sexes,15-19 years,Alcohol use disorders,Rate,2005,644.5398277,918.8390325,426.014632
All Population,Prevalence,Poland,Both Sexes,20-24 years,Alcohol use disorders,Number,2005,74947.99165,99310.32527,54100.79915911039
All Population,Prevalence,Poland,Both Sexes,20-24 years,Alcohol use disorders,Percent,2005,0.022616258,0.029926688,0.016402402
All Population,Prevalence,Poland,Both Sexes,20-24 years,Alcohol use disorders,Rate,2005,2191.964231,2904.476504,1582.25743
All Population,Prevalence,Poland,Both Sexes,25-29 years,Alcohol use disorders,Number,2005,118081.77123391506,154374.60445366887,87135.37999940304
All Population,Prevalence,Poland,Both Sexes,25-29 years,Alcohol use disorders,Percent,2005,0.037749429,0.049272034,0.027990335
All Population,Prevalence,Poland,Both Sexes,25-29 years,Alcohol use disorders,Rate,2005,3703.7608230250403,4842.124284,2733.094222
All Population,Prevalence,Poland,Both Sexes,30-34 years,Alcohol use disorders,Number,2005,131118.9285387003,169377.01835129334,94820.27441
All Population,Prevalence,Poland,Both Sexes,30-34 years,Alcohol use disorders,Percent,2005,0.047210594,0.061061002,0.0342086
All Population,Prevalence,Poland,Both Sexes,30-34 years,Alcohol use disorders,Rate,2005,4665.165744,6026.375236,3373.672291
All Population,Prevalence,Poland,Both Sexes,35-39 years,Alcohol use disorders,Number,2005,127102.54528853828,162778.9248472668,98448.29855344575
All Population,Prevalence,Poland,Both Sexes,35-39 years,Alcohol use disorders,Percent,2005,0.052412,0.067073307,0.04054643
All Population,Prevalence,Poland,Both Sexes,35-39 years,Alcohol use disorders,Rate,2005,5205.443093,6666.557527152179,4031.9178073734397
All Population,Prevalence,Poland,Both Sexes,40-44 years,Alcohol use disorders,Number,2005,143167.10424494452,192925.11357870576,104893.4741188105
All Population,Prevalence,Poland,Both Sexes,40-44 years,Alcohol use disorders,Percent,2005,0.054516776,0.07341843,0.039973558
All Population,Prevalence,Poland,Both Sexes,40-44 years,Alcohol use disorders,Rate,2005,5426.967648,7313.120953925981,3976.147269
All Population,Prevalence,Poland,Both Sexes,45-49 years,Alcohol use disorders,Number,2005,157842.60708061085,198262.68224350465,124006.04218406984
All Population,Prevalence,Poland,Both Sexes,45-49 years,Alcohol use disorders,Percent,2005,0.050205773,0.063050067,0.039472109
All Population,Prevalence,Poland,Both Sexes,45-49 years,Alcohol use disorders,Rate,2005,5005.865105,6287.758806,3932.762711
All Population,Prevalence,Poland,Both Sexes,50-54 years,Alcohol use disorders,Number,2005,139119.45853668335,183665.9368425116,103523.36884227698
All Population,Prevalence,Poland,Both Sexes,50-54 years,Alcohol use disorders,Percent,2005,0.045658744,0.06027284,0.033963468
All Population,Prevalence,Poland,Both Sexes,50-54 years,Alcohol use disorders,Rate,2005,4558.019634,6017.511533,3391.7724573628398
All Population,Prevalence,France,Both Sexes,15-19 years,Alcohol use disorders,Number,2005,63637.71302704574,97737.47830483192,38406.21075302056
All Population,Prevalence,France,Both Sexes,15-19 years,Alcohol use disorders,Percent,2005,0.016584892,0.025188327,0.009969437
All Population,Prevalence,France,Both Sexes,15-19 years,Alcohol use disorders,Rate,2005,1550.278678,2380.983248,935.6139119
All Population,Prevalence,France,Both Sexes,20-24 years,Alcohol use disorders,Number,2005,159299.01121194975,244572.45059792645,98530.11729441852
All Population,Prevalence,France,Both Sexes,20-24 years,Alcohol use disorders,Percent,2005,0.04102497,0.062300047,0.025390488
All Population,Prevalence,France,Both Sexes,20-24 years,Alcohol use disorders,Rate,2005,3948.419515,6062.025303,2442.1886550187796
All Population,Prevalence,France,Both Sexes,25-29 years,Alcohol use disorders,Number,2005,160971.9444305961,222774.94035273851,116237.50324832032
All Population,Prevalence,France,Both Sexes,25-29 years,Alcohol use disorders,Percent,2005,0.042381236,0.058485778,0.030625734
All Population,Prevalence,France,Both Sexes,25-29 years,Alcohol use disorders,Rate,2005,4138.611464,5727.575233010391,2988.482653
All Population,Prevalence,France,Both Sexes,30-34 years,Alcohol use disorders,Number,2005,171361.8478984752,227426.08976281065,118840.22965695366
All Population,Prevalence,France,Both Sexes,30-34 years,Alcohol use disorders,Percent,2005,0.039898581,0.052735835,0.027572816
All Population,Prevalence,France,Both Sexes,30-34 years,Alcohol use disorders,Rate,2005,3927.861892,5212.935564,2723.9902871848203
All Population,Prevalence,France,Both Sexes,35-39 years,Alcohol use disorders,Number,2005,184059.7048900847,231927.58241209367,143666.9789377081
All Population,Prevalence,France,Both Sexes,35-39 years,Alcohol use disorders,Percent,2005,0.041619181,0.052400833,0.03243517
All Population,Prevalence,France,Both Sexes,35-39 years,Alcohol use disorders,Rate,2005,4119.5069,5190.855199,3215.4626751840497
All Population,Prevalence,France,Both Sexes,40-44 years,Alcohol use disorders,Number,2005,189176.24739271068,239529.74456297173,150514.51661020226
All Population,Prevalence,France,Both Sexes,40-44 years,Alcohol use disorders,Percent,2005,0.042418329,0.053645974,0.033824625
All Population,Prevalence,France,Both Sexes,40-44 years,Alcohol use disorders,Rate,2005,4211.863495,5332.94534,3351.0898257714202
All Population,Prevalence,France,Both Sexes,45-49 years,Alcohol use disorders,Number,2005,168313.16028435496,214065.66575463617,142400.41540637292
All Population,Prevalence,France,Both Sexes,45-49 years,Alcohol use disorders,Percent,2005,0.038978134,0.049646319,0.032982531
