population_group,measure,location,sex,age,cause,metric,year,val,upper,lower
All Population,Prevalence,European Region,Female,25-29 years,Alcohol use disorders,Number,2009,754838.993286951,964725.0522237696,566243.134721773
All Population,Prevalence,European Region,Male,25-29 years,Alcohol use disorders,Percent,2009,0.0568846462970701,0.0712945929047354,0.0440539829997487
All Population,Prevalence,European Region,Female,25-29 years,Alcohol use disorders,Percent,2009,0.0229171078685129,0.0293702243771085,0.0172188395258136
All Population,Prevalence,European Region,Male,25-29 years,Alcohol use disorders,Rate,2009,5518.90410639318,6879.16404502602,4251.5908784647
All Population,Prevalence,European Region,Female,25-29 years,Alcohol use disorders,Rate,2009,2276.58244863524,2909.59547821933,1707.7803261784302
All Population,Prevalence,European Region,Male,30-34 years,Alcohol use disorders,Number,2009,1883596.70089468,2379678.3902499937,1385708.2125864308
All Population,Prevalence,European Region,Female,30-34 years,Alcohol use disorders,Number,2009,762088.2809815552,1009385.1603950072,524196.06627621833
All Population,Prevalence,European Region,Male,30-34 years,Alcohol use disorders,Percent,2009,0.0583333586066046,0.0735308646496257,0.043040322326943
All Population,Prevalence,European Region,Female,30-34 years,Alcohol use disorders,Percent,2009,0.023434377990913,0.0310303001373971,0.0161110774918851
All Population,Prevalence,European Region,Male,30-34 years,Alcohol use disorders,Rate,2009,5715.22571470438,7220.441149755199,4204.52807434272
All Population,Prevalence,European Region,Female,30-34 years,Alcohol use disorders,Rate,2009,2333.99700095859,3091.3766763867498,1605.42036550827
All Population,Prevalence,European Region,Male,35-39 years,Alcohol use disorders,Number,2009,1832411.4453839397,2250111.335989176,1483994.4073154684
All Population,Prevalence,European Region,Female,35-39 years,Alcohol use disorders,Number,2009,744551.20799164,955340.8885209712,562285.9411096442
All Population,Prevalence,European Region,Male,35-39 years,Alcohol use disorders,Percent,2009,0.0574302237213056,0.07035196827918,0.0464431483782563
All Population,Prevalence,European Region,Female,35-39 years,Alcohol use disorders,Percent,2009,0.0230417793360387,0.0295511609653875,0.017414133957718
All Population,Prevalence,European Region,Male,35-39 years,Alcohol use disorders,Rate,2009,5664.08251500358,6955.21538412856,4587.10667629424
All Population,Prevalence,European Region,Female,35-39 years,Alcohol use disorders,Rate,2009,2299.0791989815,2949.9708564837,1736.2672939205502
All Population,Prevalence,European Region,Male,40-44 years,Alcohol use disorders,Number,2009,1783291.128276773,2179742.7863963447,1451781.4083713382
All Population,Prevalence,European Region,Female,40-44 years,Alcohol use disorders,Number,2009,713410.3188392022,932579.1888958252,531581.9982554214
All Population,Prevalence,European Region,Male,40-44 years,Alcohol use disorders,Percent,2009,0.056413033845356,0.0687504932652043,0.0459986952247973
All Population,Prevalence,European Region,Female,40-44 years,Alcohol use disorders,Percent,2009,0.0221472039251661,0.0289360594006529,0.0165062588720763
All Population,Prevalence,European Region,Male,40-44 years,Alcohol use disorders,Rate,2009,5583.23510335791,6824.46979538297,4545.324536803961
All Population,Prevalence,European Region,Female,40-44 years,Alcohol use disorders,Rate,2009,2211.3713376101,2890.7331922693,1647.75468407052
All Population,Prevalence,European Region,Male,15-19 years,Alcohol use disorders,Number,2010,452973.863163887,651787.1428548559,301608.1809068443
All Population,Prevalence,European Region,Female,15-19 years,Alcohol use disorders,Number,2010,206849.16352114585,303362.3414162873,129563.30806655888
All Population,Prevalence,European Region,Male,15-19 years,Alcohol use disorders,Percent,2010,0.0164090597492675,0.0238619021690998,0.0110023983869693
All Population,Prevalence,European Region,Female,15-19 years,Alcohol use disorders,Percent,2010,0.0074431337989898,0.0108976134869236,0.0046752923484859
All Population,Prevalence,European Region,Male,15-19 years,Alcohol use disorders,Rate,2010,1511.0124706142499,2174.20602186796,1006.09275644814
All Population,Prevalence,European Region,Female,15-19 years,Alcohol use disorders,Rate,2010,723.0680476722,1060.4423639485499,452.90532781904005
All Population,Prevalence,European Region,Male,20-24 years,Alcohol use disorders,Number,2010,1461971.6794363868,1991940.4834980045,1040997.1640023343
