Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
20082209,SA_0000001476,COUNTRY,AUT,YEAR,2013,,,,,,,DATASOURCE,SA_0000001476_AUT,1.4,1.4,,,,2018-10-25T13:07:01Z,2013,2013-01-01,2013-12-31
20082210,SA_0000001476,COUNTRY,AZE,YEAR,1992,,,,,,,DATASOURCE,SA_0000001476_AZE,1,1,,,,2018-10-25T13:07:01Z,1992,1992-01-01,1992-12-31
20082211,SA_0000001476,COUNTRY,BLR,YEAR,1994,,,,,,,DATASOURCE,SA_0000001476_BLR,4.7,4.7,,,,2018-10-25T13:07:01Z,1994,1994-01-01,1994-12-31
20082212,SA_0000001476,COUNTRY,BLR,YEAR,1995,,,,,,,DATASOURCE,SA_0000001476_BLR,3.3,3.3,,,,2018-10-25T13:07:01Z,1995,1995-01-01,1995-12-31
20082213,SA_0000001476,COUNTRY,CAN,YEAR,1995,,,,,,,DATASOURCE,SA_0000001476_CAN,2.2,2.2,,,,2018-10-25T13:07:01Z,1995,1995-01-01,1995-12-31
20082214,SA_0000001476,COUNTRY,CAN,YEAR,1996,,,,,,,DATASOURCE,SA_0000001476_CAN,2,2,,,,2018-10-25T13:07:01Z,1996,1996-01-01,1996-12-31
20082215,SA_0000001476,COUNTRY,CAN,YEAR,2010,,,,,,,DATASOURCE,SA_0000001476_CAN,2,2,,,,2018-10-25T13:07:01Z,2010,2010-01-01,2010-12-31
20082216,SA_0000001476,COUNTRY,DNK,YEAR,2002,,,,,,,DATASOURCE,SA_0000001476_DNK,2.2,2.2,,,,2018-10-25T13:07:01Z,2002,2002-01-01,2002-12-31
20082217,SA_0000001476,COUNTRY,DNK,YEAR,2003,,,,,,,DATASOURCE,SA_0000001476_DNK,2.3,2.3,,,,2018-10-25T13:07:01Z,2003,2003-01-01,2003-12-31
20082218,SA_0000001476,COUNTRY,EST,YEAR,2003,,,,,,,DATASOURCE,SA_0000001476_EST,2.1,2.1,,,,2018-10-25T13:07:01Z,2003,2003-01-01,2003-12-31
