location,sex,age,year,precent_of_prevalence,upper_bound,lower_bound
Albania,Female,35-39 years,2017,0.0252588154220317,0.0350576139673895,0.0162313932853972
Albania,Both Sexes,35-39 years,2017,0.026237694,0.035624935,0.017536406
Albania,Male,40-44 years,2017,0.022280787589806,0.031349325856855,0.0151104248127661
Albania,Female,40-44 years,2017,0.0226611021861176,0.0327280992361086,0.014566688931654
Albania,Both Sexes,40-44 years,2017,0.022482191,0.032033645,0.014931548
Albania,Male,15-19 years,2018,0.009156707869368,0.014776795523206,0.0049534065505978
Albania,Female,15-19 years,2018,0.0062526145588244,0.0102416814054895,0.0034403262685026
Albania,Both Sexes,15-19 years,2018,0.007663677,0.012524194,0.004084845
Albania,Male,20-24 years,2018,0.0248319463458028,0.0394052963051366,0.0143059553141818
Albania,Female,20-24 years,2018,0.0180137187140125,0.0284555159235118,0.0104724638372234
Albania,Both Sexes,20-24 years,2018,0.021423837,0.034124214,0.012583293
Albania,Male,25-29 years,2018,0.0301642802785201,0.0423911117313867,0.0204417948021985
Albania,Female,25-29 years,2018,0.0246001226966256,0.0357470549289322,0.0158302029180457
Albania,Both Sexes,25-29 years,2018,0.027530115,0.038721398,0.018469773
Albania,Male,30-34 years,2018,0.030037084758238,0.0428696822914482,0.0185122022895358
Albania,Female,30-34 years,2018,0.0267178453332594,0.0408958235104301,0.0155114010105959
Albania,Both Sexes,30-34 years,2018,0.02844782,0.04157077,0.01686457
Albania,Male,35-39 years,2018,0.0251515706732956,0.0343832738596863,0.0174104718088033
Albania,Female,35-39 years,2018,0.0247094559242434,0.0342316657984127,0.0158989555106465
Albania,Both Sexes,35-39 years,2018,0.024926062,0.03367397,0.016711051
Albania,Male,40-44 years,2018,0.0204991908265246,0.0287608297842787,0.0141937688338315
Albania,Female,40-44 years,2018,0.0221023649228174,0.0319789586855975,0.0143391952224135
Albania,Both Sexes,40-44 years,2018,0.0213468,0.030299264,0.01424125
Albania,Male,15-19 years,2019,0.0089868849925002,0.0142923871243557,0.0048944279826813
Albania,Female,15-19 years,2019,0.0062265540467481,0.0100528765290853,0.0033349878276098
Albania,Both Sexes,15-19 years,2019,0.007563973,0.012127608,0.00400294
Albania,Male,20-24 years,2019,0.0240415383558035,0.0377169583866176,0.0139865175120162
Albania,Female,20-24 years,2019,0.0178448534949018,0.028460837833154,0.0103636972347187
Albania,Both Sexes,20-24 years,2019,0.020922584,0.033185138,0.012303746
Albania,Male,25-29 years,2019,0.0285743068785609,0.0397251995128187,0.0194086665816388
Albania,Female,25-29 years,2019,0.0242563207637563,0.0352953203151918,0.0156282966652927
Albania,Both Sexes,25-29 years,2019,0.026511666,0.037471715,0.017680482
Albania,Male,30-34 years,2019,0.0280562364350585,0.0405110340157942,0.0173205044354885
Albania,Female,30-34 years,2019,0.0262610292688033,0.0399802745486322,0.015306147309622
Albania,Both Sexes,30-34 years,2019,0.027203418,0.039232334,0.016219306
Albania,Male,35-39 years,2019,0.0233694431474042,0.0318544903397809,0.0159613387457516
Albania,Female,35-39 years,2019,0.0241846998160377,0.0334642701877484,0.0155307850087809
Albania,Both Sexes,35-39 years,2019,0.023781539,0.032151729,0.015888425
Albania,Male,40-44 years,2019,0.0190065982186282,0.0267652266581897,0.0132487668924246
Albania,Female,40-44 years,2019,0.0215617749955357,0.0314286858648555,0.0138444240518885
Albania,Both Sexes,40-44 years,2019,0.020352445,0.02888565,0.013651595
Albania,Male,15-19 years,2020,0.0088879783842141,0.0141053584923355,0.0049936910830428
Albania,Female,15-19 years,2020,0.0061950498403326,0.0101421995446022,0.0032036087449419
Albania,Both Sexes,15-19 years,2020,0.007501,0.012031389,0.004098807
Albania,Male,20-24 years,2020,0.0236653805097833,0.0366396934813821,0.0136102389084934
Albania,Female,20-24 years,2020,0.0177100450646005,0.028576665143514,0.0101686002028043
Albania,Both Sexes,20-24 years,2020,0.020640729,0.032672298,0.012042211
Albania,Male,25-29 years,2020,0.0278692718789984,0.0387467397972887,0.0187863843280079
Albania,Female,25-29 years,2020,0.0239967958141275,0.0352280206313391,0.0153946206408928
Albania,Both Sexes,25-29 years,2020,0.026002326,0.036892416,0.017167829
Albania,Male,30-34 years,2020,0.0272117391292895,0.0398590674269939,0.0166681049258165
Albania,Female,30-34 years,2020,0.0259219373531265,0.0392473938103841,0.015221442494577
Albania,Both Sexes,30-34 years,2020,0.026600172,0.03838679,0.015920171
Albania,Male,35-39 years,2020,0.0226194711312958,0.0311346592630093,0.0150588944552053
Albania,Female,35-39 years,2020,0.0238206914217407,0.0328662287570429,0.0152741756928155
Albania,Both Sexes,35-39 years,2020,0.023220546,0.031772289,0.015422269
Albania,Male,40-44 years,2020,0.0183781355930964,0.0261314286230329,0.0126455047820545
Albania,Female,40-44 years,2020,0.0211760837103074,0.0315255038899002,0.0134763714307691
Albania,Both Sexes,40-44 years,2020,0.019840847,0.028348322,0.013311836
Albania,Male,15-19 years,2021,0.0088825787232058,0.0145475975592865,0.0049721774172197
Albania,Female,15-19 years,2021,0.0061552753349472,0.0101044496542158,0.003269340652216
Albania,Both Sexes,15-19 years,2021,0.007485307,0.01222543,0.004084212
Albania,Male,20-24 years,2021,0.0236684769300409,0.0371849900818002,0.0137257575486142
Albania,Female,20-24 years,2021,0.0176025872442091,0.0275472745252947,0.0100521945598446
Albania,Both Sexes,20-24 years,2021,0.020565244,0.0326042,0.012191052
Albania,Male,25-29 years,2021,0.0278673856427429,0.0385676535617902,0.0189601925954774
Albania,Female,25-29 years,2021,0.0237770261599891,0.0335303504878231,0.0157651208587556
Albania,Both Sexes,25-29 years,2021,0.025879203,0.036714429,0.017675186
Albania,Male,30-34 years,2021,0.0272772267628921,0.0390190212717039,0.0168198087007474
Albania,Female,30-34 years,2021,0.0256390337729375,0.0383432889848041,0.0154571957946847
Albania,Both Sexes,30-34 years,2021,0.026497872,0.038337035,0.01609938
Albania,Male,35-39 years,2021,0.0228749640440362,0.0307170960150724,0.015639338871978
Albania,Female,35-39 years,2021,0.0235705289870084,0.0328391782788118,0.0153538221712864
Albania,Both Sexes,35-39 years,2021,0.023218761,0.031300033,0.01573982
Albania,Male,40-44 years,2021,0.0188091934625451,0.0263880749922128,0.0129078664428017
Albania,Female,40-44 years,2021,0.0208901359504037,0.0302187180094923,0.013585713200405
Albania,Both Sexes,40-44 years,2021,0.019889524,0.027720911,0.013400762
Albania,Male,15-19 years,2022,0.0089338587586883,0.0143597442037901,0.0049972443858475
Albania,Female,15-19 years,2022,0.0061254922466927,0.010094316921104,0.0032072558630039
Albania,Both Sexes,15-19 years,2022,0.007502661,0.012072344,0.004085375
Albania,Male,20-24 years,2022,0.0238647441018652,0.0372156482340174,0.0139606141386004
Albania,Female,20-24 years,2022,0.0175430600071345,0.0280287725578623,0.0102314257619788
Albania,Both Sexes,20-24 years,2022,0.020602603,0.032531069,0.012362605
Albania,Male,25-29 years,2022,0.0280500751029671,0.0393535790044258,0.0184240771946659
Albania,Female,25-29 years,2022,0.0236454073966674,0.0334411684468365,0.0153174973626993
Albania,Both Sexes,25-29 years,2022,0.025887764,0.037111298,0.017733398
Albania,Male,30-34 years,2022,0.0275501261630902,0.0400834435000203,0.0172211397540169
Albania,Female,30-34 years,2022,0.0254758508741239,0.0374479156350356,0.0153211857050499
Albania,Both Sexes,30-34 years,2022,0.026556757,0.038361043,0.016407164
Albania,Male,35-39 years,2022,0.0235232207895931,0.0320128048770121,0.0159085278319691
Albania,Female,35-39 years,2022,0.023437956669709,0.0325089934326082,0.0150628215104914
Albania,Both Sexes,35-39 years,2022,0.023481517,0.032280625,0.016232922
Albania,Male,40-44 years,2022,0.0196737385432007,0.0279122480723113,0.0134114873135786
Albania,Female,40-44 years,2022,0.0207368672602382,0.0305769484838838,0.0132637259783707
Albania,Both Sexes,40-44 years,2022,0.020222539,0.029288647,0.013459176
Albania,Male,15-19 years,2023,0.0093923985582655,0.0152925684719197,0.0051724154444648
Albania,Female,15-19 years,2023,0.0062527374068612,0.0103971740209878,0.0032525738505393
Albania,Both Sexes,15-19 years,2023,0.007801947,0.012598587,0.004311497
Albania,Male,20-24 years,2023,0.0253794939653842,0.0400353616004704,0.0149392188524802
Albania,Female,20-24 years,2023,0.0179117538946756,0.0280657415962626,0.0103790959419398
Albania,Both Sexes,20-24 years,2023,0.021487468,0.033373278,0.012835303
Albania,Male,25-29 years,2023,0.0304533092503309,0.0419997222681213,0.0202323644418882
Albania,Female,25-29 years,2023,0.024245118099638,0.0349403842108472,0.0152574259885239
Albania,Both Sexes,25-29 years,2023,0.027371311,0.037949671,0.01855833
Albania,Male,30-34 years,2023,0.0302052274770382,0.0443411299878542,0.0187859624625733
Albania,Female,30-34 years,2023,0.0261780509335564,0.038547546206151,0.0155369736549703
Albania,Both Sexes,30-34 years,2023,0.028255226,0.042094505,0.017399243
Albania,Male,35-39 years,2023,0.02543504230863,0.035319785056073,0.0170011616898587
