location,sex,age,year,percent_of_prevalence,upper_bound,lower_bound,generation,prevalence %
Albania,Both Sexes,30-34 years,2014,0.031148091,0.04549771,0.018832175,Millennial,3.11%
Albania,Male,35-39 years,2014,0.029322995,0.040025998,0.019920043,Gen_X,2.93%
Albania,Female,35-39 years,2014,0.0257208,0.035794278,0.016591395,Gen_X,2.57%
Albania,Both Sexes,35-39 years,2014,0.027428146,0.037669391,0.018403168,Gen_X,2.74%
Albania,Male,40-44 years,2014,0.02393941,0.033694545,0.016041287,Gen_X,2.39%
Albania,Female,40-44 years,2014,0.023084057,0.033697102,0.014516795,Gen_X,2.31%
Albania,Both Sexes,40-44 years,2014,0.023486606,0.033428751,0.015445739,Gen_X,2.35%
Albania,Male,15-19 years,2015,0.009590851,0.015428142,0.005361213,Gen_Z,0.96%
Albania,Female,15-19 years,2015,0.006318277,0.010384228,0.003364943,Gen_Z,0.63%
Albania,Both Sexes,15-19 years,2015,0.007929623,0.012737164,0.00441841,Gen_Z,0.79%
Albania,Male,20-24 years,2015,0.026874803,0.042106712,0.01547737,Millennial,2.69%
Albania,Female,20-24 years,2015,0.01841386,0.029170056,0.010708921,Millennial,1.84%
Albania,Both Sexes,20-24 years,2015,0.022732783,0.036168658,0.013349874,Millennial,2.27%
Albania,Male,25-29 years,2015,0.034287314,0.048698028,0.022346752,Millennial,3.43%
Albania,Female,25-29 years,2015,0.025350358,0.036928976,0.015743208,Millennial,2.54%
Albania,Both Sexes,25-29 years,2015,0.030117414,0.042606852,0.019821849,Millennial,3.01%
Albania,Male,30-34 years,2015,0.035190377,0.051480544,0.021258276,Millennial,3.52%
Albania,Female,30-34 years,2015,0.027699264,0.042239383,0.016157778,Millennial,2.77%
Albania,Both Sexes,30-34 years,2015,0.031467258,0.046060739,0.018862463,Millennial,3.15%
Albania,Male,35-39 years,2015,0.029808213,0.040683997,0.019772968,Gen_X,2.98%
Albania,Female,35-39 years,2015,0.025866753,0.036659667,0.016425506,Gen_X,2.59%
Albania,Both Sexes,35-39 years,2015,0.027750076,0.038098281,0.018471841,Gen_X,2.78%
Albania,Male,40-44 years,2015,0.024398366,0.03453201,0.016364552,Gen_X,2.44%
Albania,Female,40-44 years,2015,0.023275169,0.034297858,0.01472641,Gen_X,2.33%
Albania,Both Sexes,40-44 years,2015,0.02380211,0.034216966,0.015636744,Gen_X,2.38%
Albania,Male,15-19 years,2016,0.009524621,0.015239051,0.005063345,Gen_Z,0.95%
Albania,Female,15-19 years,2016,0.006302366,0.010375203,0.003471128,Gen_Z,0.63%
Albania,Both Sexes,15-19 years,2016,0.007879096,0.012751133,0.004310805,Gen_Z,0.79%
Albania,Male,20-24 years,2016,0.026555523,0.041604523,0.015349955,Millennial,2.66%
Albania,Female,20-24 years,2016,0.018338628,0.02909812,0.010547546,Millennial,1.83%
Albania,Both Sexes,20-24 years,2016,0.022498286,0.035741614,0.013303885,Millennial,2.25%
Albania,Male,25-29 years,2016,0.033631321,0.047779878,0.022296933,Millennial,3.36%
Albania,Female,25-29 years,2016,0.025235366,0.036677314,0.015756568,Millennial,2.52%
Albania,Both Sexes,25-29 years,2016,0.029697506,0.042156809,0.01984963,Millennial,2.97%
Albania,Male,30-34 years,2016,0.034371584,0.049642921,0.020920037,Millennial,3.44%
Albania,Female,30-34 years,2016,0.02755206,0.041970403,0.016157676,Millennial,2.76%
Albania,Both Sexes,30-34 years,2016,0.031022195,0.045392027,0.018477286,Millennial,3.10%
Albania,Male,35-39 years,2016,0.029062681,0.039167066,0.019633647,Millennial,2.91%
Albania,Female,35-39 years,2016,0.025691639,0.035882905,0.016444733,Millennial,2.57%
Albania,Both Sexes,35-39 years,2016,0.02731379,0.037312568,0.018241953,Millennial,2.73%
Albania,Male,40-44 years,2016,0.023773302,0.033525145,0.016008496,Gen_X,2.38%
Albania,Female,40-44 years,2016,0.023098553,0.033398834,0.01472517,Gen_X,2.31%
Albania,Both Sexes,40-44 years,2016,0.023415085,0.033511814,0.015443374,Gen_X,2.34%
Albania,Male,15-19 years,2017,0.009357809,0.015061348,0.00495321,Gen_Z,0.94%
Albania,Female,15-19 years,2017,0.006279153,0.010311627,0.003528657,Gen_Z,0.63%
Albania,Both Sexes,15-19 years,2017,0.007778155,0.012452647,0.004196679,Gen_Z,0.78%
Albania,Male,20-24 years,2017,0.025772884,0.040629126,0.01494206,Gen_Z,2.58%
Albania,Female,20-24 years,2017,0.018191469,0.02866403,0.010476318,Gen_Z,1.82%
