location,sex,age,year,percent_of_prevalence,upper,lower
France,Male,25-29 years,2005,0.0619747530090001,0.0840745298035613,0.0445110710042093
France,Female,25-29 years,2005,0.0234957121034302,0.0322658143146697,0.0153461704575051
France,Male,30-34 years,2005,0.0595024737138275,0.0829133569437901,0.0413105154162783
France,Female,30-34 years,2005,0.0208296781866018,0.0302588014833584,0.0128835323617507
France,Male,35-39 years,2005,0.0629260883340809,0.0828351712515611,0.0480842662402744
France,Female,35-39 years,2005,0.0208699768515262,0.0282664973328061,0.0146673120499635
France,Male,40-44 years,2005,0.0649162180302807,0.086595279654223,0.0510546919784405
France,Female,40-44 years,2005,0.020705498039054,0.028421749126871,0.01428439787114
Andorra,Male,15-19 years,2005,0.0222798837502139,0.0356174119198099,0.0128934854661997
Andorra,Female,15-19 years,2005,0.0097975646416164,0.0151874251943766,0.0055437602540412
Andorra,Male,20-24 years,2005,0.0579295710580161,0.0902185587110989,0.0344522439396985
Andorra,Female,20-24 years,2005,0.0217040872225693,0.0347866952042686,0.0119479685491619
Andorra,Male,25-29 years,2005,0.0605115566170764,0.0825544835684157,0.0407266852393339
Andorra,Female,25-29 years,2005,0.0199125961171886,0.0286841230542949,0.0128064465973354
Andorra,Male,30-34 years,2005,0.0545196059341879,0.0795592983163927,0.0345674007259775
Andorra,Female,30-34 years,2005,0.0159579372116847,0.0243385570529439,0.0093190818430345
Andorra,Male,35-39 years,2005,0.0467282753177641,0.06374240120661,0.0321015537923382
Andorra,Female,35-39 years,2005,0.0135694993475285,0.0195793097539768,0.0084795250318922
Andorra,Male,40-44 years,2005,0.0402342882063121,0.0556527135084464,0.0273804911384208
Andorra,Female,40-44 years,2005,0.0114661943481689,0.0176530390739609,0.0070719489040783
Greece,Male,15-19 years,2005,0.0219592065272274,0.034023130100443,0.0122613272778189
Greece,Female,15-19 years,2005,0.0096401561711529,0.0154210016223199,0.005411905266024
Greece,Male,20-24 years,2005,0.0568272783463149,0.0895974981552678,0.0330713648946995
Greece,Female,20-24 years,2005,0.0214197985679075,0.0353397074172833,0.0118483631719231
Greece,Male,25-29 years,2005,0.0570443364649813,0.0792855614929444,0.0384382032100285
Greece,Female,25-29 years,2005,0.0197601467628328,0.0287679515620783,0.0125255906840908
Greece,Male,30-34 years,2005,0.0490749827158044,0.0730828579251283,0.0290973360708674
Greece,Female,30-34 years,2005,0.0159637564294033,0.0243261531826049,0.0093863621592897
Greece,Male,35-39 years,2005,0.039835239339926,0.0574370561200798,0.0252079205177705
Greece,Female,35-39 years,2005,0.0138000386037666,0.0206482321971927,0.0084695158312213
Greece,Male,40-44 years,2005,0.0318464108754046,0.0481565822469127,0.0204892542302746
Greece,Female,40-44 years,2005,0.0118825275598043,0.0185672566893651,0.0069886817030204
Slovakia,Male,15-19 years,2005,0.0095427360086602,0.0156003889883782,0.0055495335987165
Slovakia,Female,15-19 years,2005,0.006459851683229,0.0106428872268156,0.0034288720752559
Slovakia,Male,20-24 years,2005,0.0274906427217931,0.0421131832744298,0.0170775414794655
Slovakia,Female,20-24 years,2005,0.0186105935811477,0.0296483273516459,0.0106459269054269
Slovakia,Male,25-29 years,2005,0.037947364022994,0.0509101152962157,0.0272301921324806
Slovakia,Female,25-29 years,2005,0.0252579271514198,0.0357029459777283,0.0162355017085103
Slovakia,Male,30-34 years,2005,0.043125569233441,0.0592768486157505,0.0298848891750776
Slovakia,Female,30-34 years,2005,0.0281091531874654,0.0405508596645635,0.016708353836434
Slovakia,Male,35-39 years,2005,0.0451427765333027,0.0581681722643709,0.0332992110094314
Slovakia,Female,35-39 years,2005,0.0287602158312442,0.0390112671994758,0.0193492308602295
Slovakia,Male,40-44 years,2005,0.0450734185734298,0.060068203308293,0.0327826225411402
Slovakia,Female,40-44 years,2005,0.0285823811918308,0.0408453841201848,0.0192486059235446
Luxembourg,Male,15-19 years,2005,0.0231177003440515,0.0350931030317811,0.0138228047601918
Luxembourg,Female,15-19 years,2005,0.0102779134884741,0.0162139643434411,0.0058325806883303
Luxembourg,Male,20-24 years,2005,0.0624594396216653,0.0970330348059656,0.0395465508324638
Luxembourg,Female,20-24 years,2005,0.0237567165426914,0.0385222976187896,0.0133246584031
Luxembourg,Male,25-29 years,2005,0.0688447747848063,0.0944529287267669,0.0482291633784759
Luxembourg,Female,25-29 years,2005,0.0242221777065318,0.0341446223652855,0.0159663774852202
Luxembourg,Male,30-34 years,2005,0.066598388127917,0.0913730965061822,0.0436194629917305
Luxembourg,Female,30-34 years,2005,0.0220772345296539,0.0322879259159082,0.0134763467440266
Luxembourg,Male,35-39 years,2005,0.065266650496022,0.0855439294284403,0.0468389483601133
Luxembourg,Female,35-39 years,2005,0.0219457361864943,0.0292348112362364,0.0152500223771141
