Title,Year,% of Pop. Abstainers,NumericValue,Min,Max
Croatia,2014,31.9 [30.3 - 33.5],31.9142544,30.2994332,33.5290756
Kazakhstan,2015,76.5 [72.4 - 80.7],76.5198791,72.3683338,80.6714244
France,2012,22.7 [21.6 - 23.9],22.7184528,21.5585909,23.8783146
Denmark,2019,28.7 [27.0 - 30.3],28.6782514,27.0086559,30.3478469
Russian Federation,2014,39.6 [37.7 - 41.5],39.6158422,37.6882204,41.543464
Sweden,2001,31.6 [30.0 - 33.2],31.6171272,30.0396031,33.1946514
Lithuania,2003,31.6 [29.5 - 33.8],31.6410942,29.450166,33.8320225
Belarus,2009,20.1 [18.3 - 21.9],20.0653758,18.2707784,21.8599732
Sweden,2011,29.9 [28.4 - 31.3],29.8581331,28.3667408,31.3495254
Ukraine,2012,31.3 [29.1 - 33.5],31.3163913,29.1078075,33.5249751
Belarus,2010,28.2 [25.9 - 30.4],28.1646787,25.9231107,30.4062467
Spain,2007,20.6 [19.6 - 21.7],20.6248297,19.5791529,21.6705064
Finland,2004,21.2 [20.1 - 22.3],21.1628384,20.0536236,22.2720533
Belgium,2003,29.7 [28.2 - 31.2],29.6924095,28.2012265,31.1835924
Luxembourg,2015,20.2 [18.0 - 22.4],20.2055324,17.9767584,22.4343064
Russian Federation,2001,29.7 [27.9 - 31.5],29.7077879,27.8918145,31.5237612
Russian Federation,2013,38.7 [36.8 - 40.6],38.7091939,36.8375049,40.5808829
Estonia,2019,32.1 [30.0 - 34.3],32.1057423,29.9588877,34.2525968
Georgia,2009,53.5 [49.9 - 57.1],53.5026593,49.8568199,57.1484986
Andorra,2005,11.4 [10.6 - 12.2],11.3873685,10.5668445,12.2078924
Croatia,2017,21.8 [20.7 - 23.0],21.8386518,20.6645801,23.0127236
Albania,2017,49.5 [47.3 - 51.7],49.5191982,47.2901511,51.7482452
Italy,2004,31.6 [30.0 - 33.1],31.5579161,29.9876542,33.1281779
Netherlands (Kingdom of the),2004,28.9 [27.5 - 30.3],28.8762012,27.4894654,30.262937
Slovakia,2013,27.5 [26.1 - 28.9],27.5338231,26.1397339,28.9279123
Azerbaijan,2003,86.6 [83.3 - 89.9],86.5741215,83.2507187,89.8975242
Portugal,2000,13.8 [12.9 - 14.7],13.7975654,12.8651018,14.7300289
Croatia,2010,21.3 [20.1 - 22.4],21.2900182,20.1353705,22.444666
United Kingdom of Great Britain and Northern Ireland,2000,28.9 [27.3 - 30.4],28.8543769,27.3042107,30.4045432
Czechia,2005,17.4 [16.4 - 18.5],17.4393507,16.3946701,18.4840314
Malta,2018,28.6 [27.2 - 30.1],28.6387782,27.1503617,30.1271947
